text,label,reason
"Breaking: Aliens landed in New York, world leaders in panic!",fake,"Highly improbable event, typical of sensationalist fake news."
Study finds coffee consumption linked to longer life.,real,"Based on scientific studies, common news topic."
"URGENT: New virus spreads globally, no cure found yet.",fake,"Often used in sensationalist headlines, check official health organizations."
Local council approves new park development project.,real,"Typical local government news, verifiable."
Shocking: Celebrity spotted with three heads!,fake,"Absurd claim, clear sign of fake news."
Scientists discover new species of deep-sea fish.,real,"Common scientific discovery, verifiable through scientific journals."
This article claims the moon is made of cheese.,fake,"Clearly a false claim, lacks any scientific basis."
Official report confirms economic growth in Q3.,real,Official economic reports are verifiable from government sources.
Clickbait: You won't believe what this politician said!,fake,"Uses sensational language to attract clicks, common fake news tactic."
Researchers publish findings on climate change impacts.,real,Verifiable through academic publications and scientific consensus.
